drug_name,generic_name,opioid_drug_flag,antibiotic_drug_flag,high_risk_flag,antipsychotic_drug_flag
BUMETANIDE,BUMETANIDE,N,N,N,N 
BUNAVAIL,BUPRENORPHINE HCL/NALOXONE HCL,N,N,N,N 
BUPAP,BUTALBITAL/ACETAMINOPHEN,N,N,Y,N 
BUPHENYL,SODIUM PHENYLBUTYRATE,N,N,N,N 
BUPIVACAINE HCL,BUPIVACAINE HCL,N,N,N,N 
BUPIVACAINE HCL,BUPIVACAINE HCL/PF,N,N,N,N 
BUPRENEX,BUPRENORPHINE HCL,N,N,N,N 
BUPRENORPHINE HCL,BUPRENORPHINE HCL,Y,N,N,N 
BUPRENORPHINE-NALOXONE,BUPRENORPHINE HCL/NALOXONE HCL,N,N,N,N 
BUPROBAN,BUPROPION HCL,N,N,N,N 
BUPROPION HCL,BUPROPION HCL,N,N,N,N 
BUPROPION HCL SR,BUPROPION HCL,N,N,N,N 
BUPROPION XL,BUPROPION HCL,N,N,N,N 
BUSPIRONE HCL,BUSPIRONE HCL,N,N,N,N 
BUTALB-ACETAMINOPH-CAFF-CODEIN,BUTALBIT/ACETAMIN/CAFF/CODEINE,Y,N,Y,N 
BUTALB-CAFF-ACETAMINOPH-CODEIN,BUTALBIT/ACETAMIN/CAFF/CODEINE,Y,N,Y,N 
BUTALBITAL COMPOUND-CODEINE,CODEINE/BUTALBITAL/ASA/CAFFEIN,Y,N,Y,N 
BUTALBITAL-ACETAMINOPHEN,BUTALBITAL/ACETAMINOPHEN,N,N,Y,N 
BUTALBITAL-ACETAMINOPHEN-CAFFE,BUTALB/ACETAMINOPHEN/CAFFEINE,N,N,Y,N 
BUTALBITAL-ASPIRIN-CAFFEINE,BUTALBITAL/ASPIRIN/CAFFEINE,N,N,Y,N 
BUTISOL SODIUM,BUTABARBITAL SODIUM,N,N,Y,N 
BUTORPHANOL TARTRATE,BUTORPHANOL TARTRATE,Y,N,N,N 
BUTRANS,BUPRENORPHINE,Y,N,N,N 
BYDUREON,EXENATIDE MICROSPHERES,N,N,N,N 
BYDUREON PEN,EXENATIDE MICROSPHERES,N,N,N,N 
BYETTA,EXENATIDE,N,N,N,N 
BYSTOLIC,NEBIVOLOL HCL,N,N,N,N 
C-NATE DHA,PNV 11-IRON FUM-FOLIC ACID-OM3,N,N,N,N 
CABERGOLINE,CABERGOLINE,N,N,N,N 
CADUET,AMLODIPINE/ATORVASTATIN,N,N,N,N 
CAFERGOT,ERGOTAMINE TARTRATE/CAFFEINE,N,N,N,N 
CALAN,VERAPAMIL HCL,N,N,N,N 
CALAN SR,VERAPAMIL HCL,N,N,N,N 
CALCIPOTRIENE,CALCIPOTRIENE,N,N,N,N 
CALCIPOTRIENE-BETAMETHASONE DP,CALCIPOTRIENE/BETAMETHASONE,N,N,N,N 
CALCITONIN-SALMON,"CALCITONIN,SALMON,SYNTHETIC",N,N,N,N 
CALCITRENE,CALCIPOTRIENE,N,N,N,N 
CALCITRIOL,CALCITRIOL,N,N,N,N 
CALCIUM ACETATE,CALCIUM ACETATE,N,N,N,N 
CALCIUM GLUCONATE,CALCIUM GLUCONATE,N,N,N,N 
CAMBIA,DICLOFENAC POTASSIUM,N,N,N,N 
CAMILA,NORETHINDRONE,N,N,N,N 
CAMPRAL,ACAMPROSATE CALCIUM,N,N,N,N 
CAMPTOSAR,IRINOTECAN HCL,N,N,N,N 
CAMRESE,L-NORGEST/E.ESTRADION-E.ESTRAD,N,N,N,N 
CAMRESE LO,L-NORGEST/E.ESTRADION-E.ESTRAD,N,N,N,N 
CANASA,MESALAMINE,N,N,N,N 
CANCIDAS,CASPOFUNGIN ACETATE,N,N,N,N 
CANDESARTAN CILEXETIL,CANDESARTAN CILEXETIL,N,N,N,N 
CANDESARTAN-HYDROCHLOROTHIAZID,CANDESARTAN/HYDROCHLOROTHIAZID,N,N,N,N 
CANTIL,MEPENZOLATE BROMIDE,N,N,N,N 
CAPACET,BUTALB/ACETAMINOPHEN/CAFFEINE,N,N,Y,N 
CAPECITABINE,CAPECITABINE,N,N,N,N 
CAPEX SHAMPOO,FLUOCINOLONE ACETONIDE,N,N,N,N 
CAPRELSA,VANDETANIB,N,N,N,N 
CAPTOPRIL,CAPTOPRIL,N,N,N,N 
CAPTOPRIL-HYDROCHLOROTHIAZIDE,CAPTOPRIL/HYDROCHLOROTHIAZIDE,N,N,N,N 
CAPTRACIN,CAPSAICIN/MENTHOL,N,N,N,N 
CARAC,FLUOROURACIL,N,N,N,N 
CARAFATE,SUCRALFATE,N,N,N,N 
CARBAGLU,CARGLUMIC ACID,N,N,N,N 
CARBAMAZEPINE,CARBAMAZEPINE,N,N,N,N 
CARBAMAZEPINE ER,CARBAMAZEPINE,N,N,N,N 
CARBATROL,CARBAMAZEPINE,N,N,N,N 
CARBIDOPA,CARBIDOPA,N,N,N,N 
CARBIDOPA-LEVODOPA,CARBIDOPA/LEVODOPA,N,N,N,N 
CARBIDOPA-LEVODOPA ER,CARBIDOPA/LEVODOPA,N,N,N,N 
CARBIDOPA-LEVODOPA-ENTACAPONE,CARBIDOPA/LEVODOPA/ENTACAPONE,N,N,N,N 
CARBINOXAMINE MALEATE,CARBINOXAMINE MALEATE,N,N,Y,N 
CARBOPLATIN,CARBOPLATIN,N,N,N,N 
CARDIZEM,DILTIAZEM HCL,N,N,N,N 
CARDIZEM CD,DILTIAZEM HCL,N,N,N,N 
CARDIZEM LA,DILTIAZEM HCL,N,N,N,N 
CARDURA,DOXAZOSIN MESYLATE,N,N,N,N 
CARDURA XL,DOXAZOSIN MESYLATE,N,N,N,N 
CAREFINE PEN NEEDLE,"PEN NEEDLE, DIABETIC",N,N,N,N 
CARIMUNE NF NANOFILTERED,IMMUN GLOB G(IGG)/SUCR/IGA 50+,N,N,N,N 
CARISOPRODOL,CARISOPRODOL,N,N,Y,N 
CARISOPRODOL COMPOUND,CARISOPRODOL/ASPIRIN,N,N,Y,N 
CARISOPRODOL COMPOUND-CODEINE,CODEINE/CARISOPRODOL/ASPIRIN,Y,N,Y,N 
CARISOPRODOL-ASPIRIN,CARISOPRODOL/ASPIRIN,N,N,Y,N 
CARISOPRODOL-ASPIRIN-CODEINE,CODEINE/CARISOPRODOL/ASPIRIN,Y,N,Y,N 
CARNITOR,LEVOCARNITINE,N,N,N,N 
CARNITOR,LEVOCARNITINE (WITH SUGAR),N,N,N,N 
CARNITOR SF,LEVOCARNITINE,N,N,N,N 
CARTEOLOL HCL,CARTEOLOL HCL,N,N,N,N 
CARTIA XT,DILTIAZEM HCL,N,N,N,N 
CARVEDILOL,CARVEDILOL,N,N,N,N 
CASODEX,BICALUTAMIDE,N,N,N,N 
CATAFLAM,DICLOFENAC POTASSIUM,N,N,N,N 
CATAPRES,CLONIDINE HCL,N,N,N,N 
CATAPRES-TTS 1,CLONIDINE,N,N,N,N 
CATAPRES-TTS 2,CLONIDINE,N,N,N,N 
CATAPRES-TTS 3,CLONIDINE,N,N,N,N 
CAVERJECT,ALPROSTADIL,N,N,N,N 
CAYSTON,AZTREONAM LYSINE,N,N,N,N 
CAZIANT,DESOGESTREL-ETHINYL ESTRADIOL,N,N,N,N 
CEDAX,CEFTIBUTEN,N,Y,N,N 
CEFACLOR,CEFACLOR,N,Y,N,N 
CEFACLOR ER,CEFACLOR,N,Y,N,N 
CEFADROXIL,CEFADROXIL,N,Y,N,N 
CEFAZOLIN,"CEFAZOLIN SODIUM/DEXTROSE,ISO",N,Y,N,N 
CEFAZOLIN SODIUM,CEFAZOLIN SODIUM,N,Y,N,N 
CEFAZOLIN SODIUM,"CEFAZOLIN SODIUM/DEXTROSE,ISO",N,Y,N,N 
CEFAZOLIN SODIUM-DEXTROSE,"CEFAZOLIN SODIUM/DEXTROSE,ISO",N,Y,N,N 
CEFDINIR,CEFDINIR,N,Y,N,N 
CEFDITOREN PIVOXIL,CEFDITOREN PIVOXIL,N,Y,N,N 
CEFEPIME,"CEFEPIME HCL/DEXTROSE, ISO-OSM",N,Y,N,N 
CEFEPIME HCL,CEFEPIME HCL,N,Y,N,N 
CEFEPIME-DEXTROSE,CEFEPIME HCL/D5W,N,Y,N,N 
CEFIXIME,CEFIXIME,N,Y,N,N 
CEFOTAXIME SODIUM,CEFOTAXIME SODIUM,N,Y,N,N 
CEFOTETAN,CEFOTETAN DISODIUM,N,Y,N,N 
CEFOTETAN & DEXTROSE,"CEFOTETAN DISOD/DEXTROSE,ISO",N,Y,N,N 
CEFOXITIN,CEFOXITIN SODIUM,N,Y,N,N 
CEFOXITIN SODIUM,"CEFOXITIN SODIUM/DEXTROSE,ISO",N,Y,N,N 
CEFPODOXIME PROXETIL,CEFPODOXIME PROXETIL,N,Y,N,N 
CEFPROZIL,CEFPROZIL,N,Y,N,N 
CEFTAZIDIME,CEFTAZIDIME,N,Y,N,N 
CEFTAZIDIME,CEFTAZIDIME IN DEXTROSE5%WATER,N,Y,N,N 
CEFTIBUTEN,CEFTIBUTEN,N,Y,N,N 
CEFTIN,CEFUROXIME AXETIL,N,Y,N,N 
CEFTRIAXONE,"CEFTRIAXONE NA/DEXTROSE,ISO",N,Y,N,N 
CEFTRIAXONE,CEFTRIAXONE SODIUM,N,Y,N,N 
CEFUROXIME,CEFUROXIME AXETIL,N,Y,N,N 
CEFUROXIME SODIUM,CEFUROXIME SODIUM,N,Y,N,N 
CELEBREX,CELECOXIB,N,N,N,N 
CELECOXIB,CELECOXIB,N,N,N,N 
CELESTONE,BETAMET ACET/BETAMET NA PH,N,N,N,N 
CELEXA,CITALOPRAM HYDROBROMIDE,N,N,N,N 
CELLCEPT,MYCOPHENOLATE MOFETIL,N,N,N,N 
CELONTIN,METHSUXIMIDE,N,N,N,N 
CENESTIN,"ESTROGENS,CONJ.,SYNTHETIC A",N,N,Y,N 
CENTANY,MUPIROCIN,N,N,N,N 
CENTANY AT,MUPIROCIN,N,N,N,N 
CENTRATEX,"FE FUMARATE/FA/MV, MIN COMB#15",N,N,N,N 
CEPHALEXIN,CEPHALEXIN,N,Y,N,N 
CERDELGA,ELIGLUSTAT TARTRATE,N,N,N,N 
CEREBYX,FOSPHENYTOIN SODIUM,N,N,N,N 
CEREZYME,IMIGLUCERASE,N,N,N,N 
CESAMET,NABILONE,N,N,N,N 
CETIRIZINE HCL,CETIRIZINE HCL,N,N,N,N 
CEVIMELINE HCL,CEVIMELINE HCL,N,N,N,N 
CHANTIX,VARENICLINE TARTRATE,N,N,N,N 
CHEMET,SUCCIMER,N,N,N,N 
CHENODAL,CHENODIOL,N,N,N,N 
CHERATUSSIN AC,GUAIFENESIN/CODEINE PHOSPHATE,N,N,N,N 
CHLORDIAZEPOXIDE HCL,CHLORDIAZEPOXIDE HCL,N,N,N,N 
CHLORDIAZEPOXIDE-AMITRIPTYLINE,AMITRIP HCL/CHLORDIAZEPOXIDE,N,N,Y,N 
CHLORHEXIDINE GLUCONATE,CHLORHEXIDINE GLUCONATE,N,N,N,N 
CHLOROQUINE PHOSPHATE,CHLOROQUINE PHOSPHATE,N,N,N,N 
CHLOROTHIAZIDE,CHLOROTHIAZIDE,N,N,N,N 
CHLOROTHIAZIDE SODIUM,CHLOROTHIAZIDE SODIUM,N,N,N,N 
CHLORPROMAZINE HCL,CHLORPROMAZINE HCL,N,N,N,Y 
CHLORPROPAMIDE,CHLORPROPAMIDE,N,N,Y,N 
CHLORTHALIDONE,CHLORTHALIDONE,N,N,N,N 
CHLORZOXAZONE,CHLORZOXAZONE,N,N,Y,N 
CHOLESTYRAMINE,CHOLESTYRAMINE (WITH SUGAR),N,N,N,N 
CHOLESTYRAMINE LIGHT,CHOLESTYRAMINE/ASPARTAME,N,N,N,N 
CHOLINE MAG TRISALICYLATE,CHOLINE SAL/MAG SALICYLATE,N,N,N,N 
CHORIONIC GONADOTROPIN,"CHORIONIC GONADOTROPIN, HUMAN",N,N,N,N 
CIALIS,TADALAFIL,N,N,N,N 
CICLODAN,CICLOPIROX,N,N,N,N 
CICLODAN,CICLOPIROX OLAMINE,N,N,N,N 
CICLODAN,CICLOPIROX/SKIN CLEANSER NO.28,N,N,N,N 
CICLODAN,CICLOPIROX/URE/CAMPH/MENTH/EUC,N,N,N,N 
CICLOPIROX,CICLOPIROX,N,N,N,N 
CICLOPIROX,CICLOPIROX OLAMINE,N,N,N,N 
CICLOPIROX,CICLOPIROX/URE/CAMPH/MENTH/EUC,N,N,N,N 
CIDOFOVIR,CIDOFOVIR,N,N,N,N 
CILOSTAZOL,CILOSTAZOL,N,N,N,N 
CILOXAN,CIPROFLOXACIN HCL,N,N,N,N 
CIMETIDINE,CIMETIDINE,N,N,N,N 
CIMETIDINE,CIMETIDINE HCL,N,N,N,N 
CIMZIA,CERTOLIZUMAB PEGOL,N,N,N,N 
CINRYZE,C1 ESTERASE INHIBITOR,N,N,N,N 
CIPRO,CIPROFLOXACIN,N,Y,N,N 
CIPRO,CIPROFLOXACIN HCL,N,Y,N,N 
CIPRO HC,CIPROFLOXACIN/HYDROCORTISONE,N,N,N,N 
CIPRODEX,CIPROFLOXACIN HCL/DEXAMETH,N,N,N,N 
CIPROFLOXACIN,CIPROFLOXACIN,N,Y,N,N 
CIPROFLOXACIN,CIPROFLOXACIN LACTATE,N,Y,N,N 
CIPROFLOXACIN ER,CIPROFLOXACIN/CIPROFLOXA HCL,N,Y,N,N 
CIPROFLOXACIN HCL,CIPROFLOXACIN HCL,N,Y,N,N 
CIPROFLOXACIN-D5W,CIPROFLOXACIN LACTATE/D5W,N,Y,N,N 
CISPLATIN,CISPLATIN,N,N,N,N 
CITALOPRAM HBR,CITALOPRAM HYDROBROMIDE,N,N,N,N 
CITRANATAL 90 DHA,PN W-CA64/IRON CB&GL/FA/DSS/DH,N,N,N,N 
CITRANATAL 90 DHA,"PNV72/IRON,CARB&GLU/FA/DSS/DHA",N,N,N,N 
CITRANATAL ASSURE,PNV38/IRON CBN&GLUC/FA/DSS/DHA,N,N,N,N 
CITRANATAL ASSURE,"PNV73/IRON,CARB&GLU/FA/DSS/DHA",N,N,N,N 
CITRANATAL B-CALM,"PRENATAL #48/IRON CB,GLU/FA/B6",N,N,N,N 
CITRANATAL DHA,PNV22/IRON CBN&GLUC/FA/DSS/DHA,N,N,N,N 
CITRANATAL DHA,"PNV76/IRON,CARB&GLU/FA/DSS/DHA",N,N,N,N 
CITRANATAL HARMONY,"PNV59/IRON,CARB&FUM/FA/DSS/DHA",N,N,N,N 
CITRANATAL RX,PNV NO.22/IRON CBN&GLUC/FA/DSS,N,N,N,N 
CITRANATAL RX,PNV NO.81/IRON CBN&GLUC/FA/DSS,N,N,N,N 
CLAFORAN,CEFOTAXIME SODIUM,N,Y,N,N 
CLARAVIS,ISOTRETINOIN,N,N,N,N 
CLARINEX,DESLORATADINE,N,N,N,N 
CLARINEX-D 12 HOUR,DESLORATADINE/PSEUDOEPHEDRINE,N,N,N,N 
CLARITHROMYCIN,CLARITHROMYCIN,N,Y,N,N 
CLARITHROMYCIN ER,CLARITHROMYCIN,N,Y,N,N 
CLEMASTINE FUMARATE,CLEMASTINE FUMARATE,N,N,Y,N 
CLEOCIN,CLINDAMYCIN PHOSPHATE,N,N,N,N 
CLEOCIN HCL,CLINDAMYCIN HCL,N,Y,N,N 
CLEOCIN PALMITATE,CLINDAMYCIN PALMITATE HCL,N,Y,N,N 
CLEOCIN PHOSPHATE,CLINDAMYCIN PHOSPHATE,N,Y,N,N 
CLEOCIN PHOSPHATE IN D5W,CLINDAMYCIN PHOSPHATE/D5W,N,Y,N,N 
CLEOCIN T,CLINDAMYCIN PHOSPHATE,N,N,N,N 
CLICKFINE,"PEN NEEDLE, DIABETIC",N,N,N,N 
CLIMARA,ESTRADIOL,N,N,Y,N 
CLIMARA PRO,ESTRADIOL/LEVONORGESTREL,N,N,Y,N 
CLINDACIN ETZ,CLINDAMYCIN PHOSPHATE,N,N,N,N 
CLINDACIN P,CLINDAMYCIN PHOSPHATE,N,N,N,N 
CLINDAGEL,CLINDAMYCIN PHOSPHATE,N,N,N,N 
CLINDAMYCIN HCL,CLINDAMYCIN HCL,N,Y,N,N 
CLINDAMYCIN PALMITATE HCL,CLINDAMYCIN PALMITATE HCL,N,Y,N,N 
CLINDAMYCIN PEDIATRIC,CLINDAMYCIN PALMITATE HCL,N,Y,N,N 
CLINDAMYCIN PHOS-BENZOYL PEROX,CLINDAMYCIN PHOS/BENZOYL PEROX,N,N,N,N 
CLINDAMYCIN PHOSPHATE,CLINDAMYCIN PHOSPHATE,N,Y,N,N 
CLINDAMYCIN PHOSPHATE-D5W,CLINDAMYCIN PHOSPHATE/D5W,N,Y,N,N 
CLINDAMYCIN-BENZOYL PEROXIDE,CLINDAMYCIN PHOS/BENZOYL PEROX,N,N,N,N 
CLINDESSE,CLINDAMYCIN PHOSPHATE,N,N,N,N 
CLINIMIX,AMINO ACIDS 4.25 %/DEXTROSE 5%,N,N,N,N 
CLINIMIX,AMINO ACIDS 5 %/DEXTROSE 15 %,N,N,N,N 
CLINIMIX,AMINO ACIDS 5 %/DEXTROSE 20 %,N,N,N,N 
CLINIMIX,AMINO ACIDS 5 %/DEXTROSE 25 %,N,N,N,N 
CLINIMIX E,AA 4.25%/CALCIUM/LYTES/D25W,N,N,N,N 
CLINIMIX E,AA 4.25%/CALCIUM/LYTES/D5W,N,N,N,N 
CLINIMIX E,AA 4.25%/CALCIUM/LYTES/DEX 10%,N,N,N,N 
CLINIMIX E,AA 5 %/CALCIUM/LYTES/DEXT 15 %,N,N,N,N 
CLINIMIX E,AA 5 %/CALCIUM/LYTES/DEXT 20 %,N,N,N,N 
CLINIMIX E,AA 5 %/CALCIUM/LYTES/DEXT 25 %,N,N,N,N 
CLINISOL,PARENTERAL AMINO ACID 15% NO.1,N,N,N,N 
CLINPRO 5000,SODIUM FLUORIDE,N,N,N,N 
CLOBETASOL EMOLLIENT,CLOBETASOL PROPIONATE/EMOLL,N,N,N,N 
CLOBETASOL EMULSION,CLOBETASOL PROPIONATE/EMOLL,N,N,N,N 
CLOBETASOL PROPIONATE,CLOBETASOL PROPIONATE,N,N,N,N 
CLOBEX,CLOBETASOL PROPIONATE,N,N,N,N 
CLOCORTOLONE PIVALATE,CLOCORTOLONE PIVALATE,N,N,N,N 
CLODAN,CLOBETASOL PROPIONATE,N,N,N,N 
CLODAN,CLOBETASOL/SKIN CLEANSER #28,N,N,N,N 
CLODERM,CLOCORTOLONE PIVALATE,N,N,N,N 
CLOMIPHENE CITRATE,CLOMIPHENE CITRATE,N,N,N,N 
CLOMIPRAMINE HCL,CLOMIPRAMINE HCL,N,N,Y,N 
CLONAZEPAM,CLONAZEPAM,N,N,N,N 
CLONIDINE,CLONIDINE,N,N,N,N 
CLONIDINE HCL,CLONIDINE HCL,N,N,N,N 
CLONIDINE HCL ER,CLONIDINE HCL,N,N,N,N 
CLOPIDOGREL,CLOPIDOGREL BISULFATE,N,N,N,N 
CLORAZEPATE DIPOTASSIUM,CLORAZEPATE DIPOTASSIUM,N,N,N,N 
CLORPRES,CLONIDINE HCL/CHLORTHALIDONE,N,N,N,N 
CLOTRIMAZOLE,CLOTRIMAZOLE,N,N,N,N 
CLOTRIMAZOLE-BETAMETHASONE,CLOTRIMAZOLE/BETAMETHASONE DIP,N,N,N,N 
CLOZAPINE,CLOZAPINE,N,N,N,Y 
CLOZAPINE ODT,CLOZAPINE,N,N,N,Y 
CLOZARIL,CLOZAPINE,N,N,N,Y 
CNL 8,CICLOPIROX/NAIL LACQUER REMOVR,N,N,N,N 
COARTEM,ARTEMETHER/LUMEFANTRINE,N,N,N,N 
CODEINE SULFATE,CODEINE SULFATE,Y,N,N,N 
COGENTIN,BENZTROPINE MESYLATE,N,N,N,N 
COLAZAL,BALSALAZIDE DISODIUM,N,N,N,N 
COLCHICINE,COLCHICINE,N,N,N,N 
COLCRYS,COLCHICINE,N,N,N,N 
COLESTID,COLESTIPOL HCL,N,N,N,N 
COLESTIPOL HCL,COLESTIPOL HCL,N,N,N,N 
COLISTIMETHATE,COLISTIN (COLISTIMETHATE NA),N,N,N,N 
COLOCORT,HYDROCORTISONE,N,N,N,N 
COLY-MYCIN M PARENTERAL,COLISTIN (COLISTIMETHATE NA),N,N,N,N 
COLY-MYCIN S,NEOMYCIN SU/COLIST/HC/THONZON,N,N,N,N 
COLYTE WITH FLAVOR PACKETS,"PEG 3350/NA SULF,BICARB,CL/KCL",N,N,N,N 
COLYTE WITH FLAVOR PACKS,"PEG 3350/NA SULF,BICARB,CL/KCL",N,N,N,N 
COMBIGAN,BRIMONIDINE TARTRATE/TIMOLOL,N,N,N,N 
COMBIPATCH,ESTRADIOL/NORETHINDRONE ACET,N,N,Y,N 
COMBIVENT,IPRATROPIUM/ALBUTEROL SULFATE,N,N,N,N 
COMBIVENT RESPIMAT,IPRATROPIUM/ALBUTEROL SULFATE,N,N,N,N 
COMBIVIR,LAMIVUDINE/ZIDOVUDINE,N,N,N,N 
COMETRIQ,CABOZANTINIB S-MALATE,N,N,N,N 
COMFORT EZ,"PEN NEEDLE, DIABETIC",N,N,N,N 
COMFORT EZ,"SYRING W-NDL,DISP,INSUL,0.3 ML",N,N,N,N 
COMFORT EZ,"SYRING W-NDL,DISP,INSUL,0.5 ML",N,N,N,N 
COMFORT EZ,"SYRINGE AND NEEDLE,INSULIN,1ML",N,N,N,N 
COMPAZINE,PROCHLORPERAZINE MALEATE,N,N,N,N 
COMPLERA,EMTRICITAB/RILPIVIRINE/TENOFOV,N,N,N,N 
COMPLETE NATAL DHA,PNV2/IRON B-G SUC-P/FA/OMEGA-3,N,N,N,N 
COMPLETENATE,PNV #14/FERROUS FUM/FOLIC ACID,N,N,N,N 
COMPRO,PROCHLORPERAZINE,N,N,N,N 
COMTAN,ENTACAPONE,N,N,N,N 
COMVAX,HEP B VACCINE/HIB CONJ-MENG/PF,N,N,N,N 
CONCEPT DHA,PNV#16/IRON FUM & PS/FA/OM-3,N,N,N,N 
CONCEPT OB,"PNV #15/IRON FUM,PS/FOLIC ACID",N,N,N,N 
CONCERTA,METHYLPHENIDATE HCL,N,N,N,N 
CONDYLOX,PODOFILOX,N,N,N,N 
CONSTULOSE,LACTULOSE,N,N,N,N 
CONTRAVE,NALTREXONE HCL/BUPROPION HCL,N,N,N,N 
CONZIP,TRAMADOL HCL,Y,N,N,N 
COPAXONE,GLATIRAMER ACETATE,N,N,N,N 
COPEGUS,RIBAVIRIN,N,N,N,N 
CORDARONE,AMIODARONE HCL,N,N,N,N 
CORDRAN,FLURANDRENOLIDE,N,N,N,N 
COREG,CARVEDILOL,N,N,N,N 
COREG CR,CARVEDILOL PHOSPHATE,N,N,N,N 
CORGARD,NADOLOL,N,N,N,N 
CORLANOR,IVABRADINE HCL,N,N,N,N 
CORMAX,CLOBETASOL PROPIONATE,N,N,N,N 
CORTEF,HYDROCORTISONE,N,N,N,N 
CORTENEMA,HYDROCORTISONE,N,N,N,N 
CORTIFOAM,HYDROCORTISONE ACETATE,N,N,N,N 
CORTISONE ACETATE,CORTISONE ACETATE,N,N,N,N 
CORTISPORIN,NEOMYCIN/BACITRA/POLYMYXIN/HC,N,N,N,N 
CORTISPORIN,NEOMYCIN/POLYMYXIN B SULF/HC,N,N,N,N 
CORTISPORIN-TC,NEOMYCIN SU/COLIST/HC/THONZON,N,N,N,N 
CORZIDE,NADOLOL/BENDROFLUMETHIAZIDE,N,N,N,N 
COSENTYX (2 SYRINGES),SECUKINUMAB,N,N,N,N 
COSENTYX PEN,SECUKINUMAB,N,N,N,N 
COSENTYX PEN (2 PENS),SECUKINUMAB,N,N,N,N 
COSENTYX SYRINGE,SECUKINUMAB,N,N,N,N 
COSOPT,DORZOLAMIDE HCL/TIMOLOL MALEAT,N,N,N,N 
COSOPT PF,DORZOLAMIDE/TIMOLOL/PF,N,N,N,N 
COTELLIC,COBIMETINIB FUMARATE,N,N,N,N 
COUMADIN,WARFARIN SODIUM,N,N,N,N 
COZAAR,LOSARTAN POTASSIUM,N,N,N,N 
CREON,LIPASE/PROTEASE/AMYLASE,N,N,N,N 
CRESEMBA,ISAVUCONAZONIUM SULFATE,N,N,N,N 
CRESTOR,ROSUVASTATIN CALCIUM,N,N,N,N 
CRINONE,"PROGESTERONE,MICRONIZED",N,N,N,N 
CRIXIVAN,INDINAVIR SULFATE,N,N,N,N 
CROMOLYN SODIUM,CROMOLYN SODIUM,N,N,N,N 
CRYSELLE,NORGESTREL-ETHINYL ESTRADIOL,N,N,N,N 
CUBICIN,DAPTOMYCIN,N,Y,N,N 
CUPRIMINE,PENICILLAMINE,N,N,N,N 
CURAD GAUZE PADS,GAUZE BANDAGE,N,N,N,N 
CURITY,GAUZE BANDAGE,N,N,N,N 
CURITY ALCOHOL PREPS,ALCOHOL ANTISEPTIC PADS,N,N,N,N 
CUTIVATE,FLUTICASONE PROPIONATE,N,N,N,N 
CUVPOSA,GLYCOPYRROLATE,N,N,N,N 
CYANOCOBALAMIN INJECTION,CYANOCOBALAMIN (VITAMIN B-12),N,N,N,N 
CYCLAFEM,NORETHINDRONE-ETHINYL ESTRAD,N,N,N,N 
CYCLOBENZAPRINE HCL,CYCLOBENZAPRINE HCL,N,N,Y,N 
CYCLOGYL,CYCLOPENTOLATE HCL,N,N,N,N 
CYCLOMYDRIL,CYCLOPENTOLATE/PHENYLEPHRINE,N,N,N,N 
CYCLOPENTOLATE HCL,CYCLOPENTOLATE HCL,N,N,N,N 
CYCLOPHOSPHAMIDE,CYCLOPHOSPHAMIDE,N,N,N,N 
CYCLOSERINE,CYCLOSERINE,N,N,N,N 
CYCLOSET,BROMOCRIPTINE MESYLATE,N,N,N,N 
CYCLOSPORINE,CYCLOSPORINE,N,N,N,N 
CYCLOSPORINE,"CYCLOSPORINE, MODIFIED",N,N,N,N 
CYCLOSPORINE MODIFIED,"CYCLOSPORINE, MODIFIED",N,N,N,N 
CYMBALTA,DULOXETINE HCL,N,N,N,N 
CYPROHEPTADINE HCL,CYPROHEPTADINE HCL,N,N,Y,N 
CYRAMZA,RAMUCIRUMAB,N,N,N,N 
CYSTADANE,BETAINE,N,N,N,N 
CYSTAGON,CYSTEAMINE BITARTRATE,N,N,N,N 
CYSTARAN,CYSTEAMINE HCL,N,N,N,N 
CYTARABINE,CYTARABINE,N,N,N,N 
CYTARABINE,CYTARABINE/PF,N,N,N,N 
CYTOGAM,CYTOMEGALOVIRUS IMMUNE GLOBULN,N,N,N,N 
CYTOMEL,LIOTHYRONINE SODIUM,N,N,N,N 
CYTOTEC,MISOPROSTOL,N,N,N,N 
CYTOVENE,GANCICLOVIR SODIUM,N,N,N,N 
CYTRA-2,CITRIC ACID/SODIUM CITRATE,N,N,N,N 
CYTRA-3,SOD/POT/K CIT/SOD CIT/CIT ACID,N,N,N,N 
CYTRA-K,POTASSIUM CITRATE/CITRIC ACID,N,N,N,N 
DACARBAZINE,DACARBAZINE,N,N,N,N 
DACOGEN,DECITABINE,N,N,N,N 
DAKLINZA,DACLATASVIR DIHYDROCHLORIDE,N,N,N,N 
DALIRESP,ROFLUMILAST,N,N,N,N 
DALVANCE,DALBAVANCIN HCL,N,Y,N,N 
DANAZOL,DANAZOL,N,N,N,N 
DANTRIUM,DANTROLENE SODIUM,N,N,N,N 
DANTROLENE SODIUM,DANTROLENE SODIUM,N,N,N,N 
DAPSONE,DAPSONE,N,N,N,N 
DAPTACEL DTAP,"DIPH,PERTUSS(ACELL),TET PED/PF",N,N,N,N 
DARAPRIM,PYRIMETHAMINE,N,N,N,N 
DARZALEX,DARATUMUMAB,N,N,N,N 
DASETTA,NORETHINDRONE-ETHINYL ESTRAD,N,N,N,N 
DAYPRO,OXAPROZIN,N,N,N,N 
DAYSEE,L-NORGEST/E.ESTRADION-E.ESTRAD,N,N,N,N 
